Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
468,0,0,1.071308,0,1.013617,0,40.67842,0,0.2040816,83.76234,20.6235012,0,20.2711208,0,92.1829528,0
469,0,0,1.038368,0,1.003379,0,41.85543,0,0.1850649,81.70553,21.35832618,0,21.1792071,0,92.5193844,0
470,0,0,1.037444,0,0.9931402,0,42.74465,0,0.1943414,80.14175,22.3351594,0,22.0990812,0,92.830016,0
471,0,0,1.005634,0,0.9829016,0,43.73866,0,0.1479592,78.47677,23.2998922,0,23.0578973,0,93.3422314,0
472,0,0,0.9974244,0,0.9829016,0,44.87011,0,0.2175325,76.66189,24.26022485,0,24.0988075,0,93.751935,0
473,0,0,0.9788509,0,0.9829016,0,45.97195,0,0.0923,74.67384,25.34046158,0,25.1984465,0,94.5830381,0
474,0,0,0.9563781,0,0.9829016,0,46.84446,0,0.1159555,72.94648,26.28209359,0,26.3121889,0,95.3205732,0
475,0,0,0.9603801,0,1.003379,0,47.97591,0,0.1762523,71.20712,27.74184322,0,27.4770821,0,95.9831165,0
476,0,0,0.9306216,0,1.013617,0,49.22127,0,0.1572356,69.56596,28.91338306,0,28.6756549,0,96.5613798,0
477,0,0,0.9122534,0,1.034094,0,50.55775,0,0.1340445,67.88657,30.3676325,0,30.0154716,0,97.0027314,0
478,0,0,0.9050702,0,1.044333,0,52.06965,0,0.2272727,66.1512,31.83288232,0,31.3698125,0,97.3842269,0
479,0,0,0.8936799,0,1.075049,0,53.83897,0,0.0649,64.3349,33.47963831,0,32.8605559,0,97.7794825,0
480,0,0,0.8948087,0,1.095526,0,55.54754,0,0.106679,62.4074,35.19789673,0,34.4249734,0,98.0539942,0
481,0,0,0.8855733,0,1.126241,0,57.78691,0,0.1205937,60.375,37.07786065,0,36.1478956,0,98.4946577,0
482,0,0,0.8824948,0,1.156957,0,59.74683,0,0.0881,58.69549,39.12723033,0,37.8661867,0,98.7598814,0
483,0,0,0.8753117,0,1.187673,0,62.48814,0,0.1020408,57.02758,41.18210019,0,39.8478103,0,99.0330171,0
484,0,0,0.8475029,0,1.218388,0,65.00163,0,0.1989796,55.30087,43.57028139,0,41.8734278,0,99.1716489,0
485,0,0,0.8537624,0,1.259343,0,67.88722,3.788147,0.1340445,53.62544,45.73955514,0,43.8173724,0,99.3783927,0
486,0,0,0.8629978,0,1.300297,0,70.8176,3.92743,0.1479592,52.04012,48.323543,0,45.8838264,0,99.6267604,0
487,0,0,0.8455532,0,1.341251,0,74.07528,4.321754,0.1989796,50.59781,50.71062416,0,47.9490175,0,99.8837281,0
488,0,0,0.8218489,0,1.371967,0,77.32536,5.197451,0.1437848,49.27477,53.30121224,0,50.0424152,0,99.985552,0
